Engineering Graphics, GE3251,CIVIL,2
Engineering Graphics, GE3251,CSE,2
ENGINEERING GRAPHICS, GE3251,ECE,2
Engineering Graphics, GE3251,EEE,2
Engineering Graphics, GE3251,IT,2
Engineering Graphics, GE3251,MECH,2
Tamils and Technology, GE3252,AIDS,2
Tamils and Technology, GE3252,CIVIL,2
Tamils and Technology, GE3252,CSE,2
TAMILS AND TECHNOLOGY, GE3252,ECE,2
Tamils and Technology, GE3252,EEE,2
Tamils and Technology, GE3252,IT,2
Tamils and Technology, GE3252,MECH,2
Engineering Practices Laboratory, GE3271,AIDS,2
Engineering Practices Laboratory, GE3271,CIVIL,2
Engineering Practices Laboratory, GE3271,CSE,2
ENGINEERING PRACTICES LABORATORY, GE3271,ECE,2
Engineering Practices Laboratory, GE3271,EEE,2
Engineering Practices Laboratory, GE3271,IT,2
Engineering Practices Laboratory, GE3271,MECH,2
Communication Laboratory, GE3272,AIDS,2
Communication Laboratory, GE3272,CIVIL,2
Communication Laboratory / Foreign, GE3272,CSE,2
COMMUNICATION LABORATORY / FOREIGN LANGUAGE, GE3272,ECE,2
Communication Laboratory, GE3272,EEE,2
Communication Laboratory / Foreign, GE3272,IT,2
Communication Laboratory, GE3272,MECH,2
Professional Development, GE3361,CSE,3
Professional Development, GE3361,IT,3
Professional Development, GE3361,MECH,3
Environmental Sciences and Sustainability, GE3451,AIDS,4
Environmental Sciences and Sustainability, GE3451,CIVIL,4
Environmental Sciences and Sustainability, GE3451,CSE,4
Environmental Sciences and Sustainability, GE3451,ECE,4
Environmental Sciences and Sustainability, GE3451,EEE,4
Environmental Sciences and Sustainability, GE3451,IT,4
Environmental Sciences and Sustainability, GE3451,MECH,4
PRINCIPLES OF MANAGEMENT, GE3751,ECE,7
Principles of Management, GE3751,IT,7
Total Quality Management, GE3752,CIVIL,7
Total Quality Management, GE3752,CSE,7
TOTAL QUALITY MANAGEMENT, GE3752,EEE,7
HUMAN VALUES AND ETHICS, GE3791,CIVIL,7
Human Values and Ethics, GE3791,CSE,7
HUMAN VALUES AND ETHICS, GE3791,ECE,7
PROFESSIONAL ETHICS FOR ENGINEERS, GE3791,EEE,7
Human Values and Ethics, GE3791,IT,7
HUMAN VALUES AND ETHICS, GE3791,MECH,7
INDUSTRIAL MANAGEMENT, GE3792,MECH,7
Professional English - I, HS3151,IT,1
PROFESSIONAL ENGLISH I, HS3152,CIVIL,1
Professional English - I, HS3152,CSE,1
PROFESSIONAL ENGLISH - I, HS3152,ECE,1
Professional English - II, HS3251,IT,2
Professional English II, HS3252,AIDS,2
Professional English II, HS3252,CIVIL,2
Professional English II, HS3252,CSE,2
Professional English II, HS3252,ECE,2
Professional English II, HS3252,EEE,2
Professional English II, HS3252,MECH,2
Web Essentials, IT3401,IT,4
Full Stack Web Development, IT3501,IT,5
Full Stack Web Development Laboratory, IT3511,IT,5
Mobile Application Development Laboratory, IT3681,IT,6
Summer Internship, IT3711,IT,7
Project Work/Internship, IT3811,IT,8
MATRICES AND CALCULUS, MA3151,CIVIL,1
Matrices and Calculus, MA3151,CSE,1
MATRICES AND CALCULUS, MA3151,ECE,1
Matrices and Calculus, MA3151,IT,1
Statistics and Numerical Methods, MA3251,AIDS,2
Statistics and Numerical Methods, MA3251,CIVIL,2
Statistics and Numerical Methods, MA3251,CSE,2
STATISTICS AND NUMERICAL METHODS, MA3251,ECE,2
Statistics and Numerical Methods, MA3251,EEE,2
Statistics and Numerical Methods, MA3251,IT,2
Statistics and Numerical Methods, MA3251,MECH,2
PROBABILITY AND COMPLEX FUNCTIONS, MA3303,EEE,3
TRANSFORMS AND PARTIAL DIFFERENTIAL EQUATIONS, MA3351,CIVIL,3
Transforms and Partial Differential Equations, MA3351,MECH,3
Discrete Mathematics, MA3354,CSE,3
Discrete Mathematics, MA3354,IT,3
RANDOM PROCESSES AND LINEAR ALGEBRA, MA3355,ECE,3
PROBABILITY AND STATISTICS, MA3391,AIDS,4
Applied Probability and Statistics for Computer Science Engineers, MA4151,MCA,1
Software Project Management(Professional Elective I, MC4001,MCA,2
Advances in Networking(Professional Elective II, MC4010,MCA,3
Data Mining and Data Warehousing Techniques(Professional Elective III, MC4020,MCA,3
